timestamp;source;bandwith;mac;channel;phy_type;ssid;b_supported;g_supported;n_supported;data_rate;1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0;time;ac_supported;63.5;22.0;22.5
1520266033.157792;beacon;20;0a:96:d7:19:23:d1;6;6;PESHG;True;True;True;6.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:07:13;;;;
1520266033.1581984;beacon;20;08:96:d7:19:23:d1;6;6;PESH2;True;True;True;6.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:07:13;;;;
1520266034.7873516;beacon;20;74:85:2a:16:b0:1d;2;4;SKP_0fcf0c;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:07:14;;;;
1520266035.7761104;beacon;20;84:9c:a6:8f:e1:f6;1;4;Wifi Jense;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:07:15;;;;
1520266035.9683123;beacon;20;50:7e:5d:8d:e4:00;6;4;ARV75198DE400;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:07:15;;;;
1520266038.8681574;beacon;40;14:cc:20:41:75:3d;2;4;deBruijn2;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:07:18;;;;
1520266041.249808;beacon;20;00:80:48:76:d1:2a;1;4;Connexxion WiFi tes;True;True;False;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:07:21;;;;
1520266042.0003889;beacon;20;8c:e0:81:67:1c:48;3;4;Quassies;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:07:22;;;;
1520266042.8854215;beacon;20;a4:2b:b0:a5:7a:c8;11;4;TP-LINK_7AC8;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:07:22;;;;
1520266043.9328136;beacon;20;74:85:2a:18:6f:16;1;4;SKP_0fd974;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:07:23;;;;
1520266043.9774234;beacon;20;cc:ce:1e:79:bc:fc;1;6;SKP_0fd974;True;True;True;6.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:07:23;;;;
1520266048.0014164;beacon;20;2a:5b:0e:69:ec:47;1;6;IOTDOM;True;True;True;6.0;;;;;True;True;True;True;True;True;True;True;2018-03-05 17:07:28;;;;
1520266048.0596263;beacon;40;64:d1:a3:39:d1:fb;1;4;SKP_0c3160_EXT;True;True;True;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:07:28;;;;
1520266049.5412261;beacon;20;00:1e:c0:13:9e:b1;6;4;HN1-004127;True;True;False;1.0;True;True;True;True;True;True;True;True;True;True;True;True;2018-03-05 17:07:29;;;;
