timestamp;source;bandwith;mac;channel;phy_type;ssid;b_supported;g_supported;n_supported;data_rate;24.0;36.0;48.0;54.0;time;1.0;2.0;5.5;11.0;9.0;18.0;6.0;12.0;ac_supported
1520004460.911223;beacon;40;50:bd:5f:3f:6b:4e;11;4;TP-LINK_6B4E;True;True;True;1.0;True;True;True;True;2018-03-02 16:27:40;True;True;True;True;True;True;True;True;
1520004464.6367123;beacon;40;84:16:f9:d9:18:7c;2;4;SUPERCLAUDIAULTRAWIFI;True;True;True;1.0;True;True;True;True;2018-03-02 16:27:44;True;True;True;True;True;True;True;True;
1520004470.2268424;beacon;40;64:d1:a3:0f:de:4a;1;4;Sitecom0FDE4A;True;True;True;1.0;True;True;True;True;2018-03-02 16:27:50;True;True;True;True;True;True;True;True;
1520004470.9943585;beacon;20;58:6d:8f:89:84:a3;11;4;Robert's Network;True;True;True;1.0;True;True;True;True;2018-03-02 16:27:50;True;True;True;True;True;True;True;True;
1520004472.5796077;beacon;40;6c:fd:b9:4d:f6:84;9;4;BalPol164;True;True;True;1.0;True;True;True;True;2018-03-02 16:27:52;True;True;True;True;True;True;True;True;
1520004473.859275;beacon;20;fa:8f:ca:38:88:ce;6;4;bas chromecast.b;True;True;True;1.0;True;True;True;True;2018-03-02 16:27:53;True;True;True;True;True;True;True;True;
1520004486.651209;beacon;20;58:6d:8f:dc:d9:23;1;4;Boomhut;True;True;True;1.0;True;True;True;True;2018-03-02 16:28:06;True;True;True;True;True;True;True;True;
1520004487.3818076;beacon;20;00:80:5a:46:2a:1d;11;4;WLAN;True;True;False;1.0;True;True;True;True;2018-03-02 16:28:07;True;True;True;True;True;True;True;True;
1520004492.732196;beacon;20;2c:d0:2d:e9:34:a4;5;6;tudelft-dastud;True;True;True;24.0;True;True;True;True;2018-03-02 16:28:12;;;;;;;;;
1520004497.8326023;beacon;40;30:46:9a:45:22:74;12;4;Penthouse;True;True;True;1.0;True;True;True;True;2018-03-02 16:28:17;True;True;True;True;True;True;True;True;
1520004507.241556;beacon;20;4c:32:75:c6:fb:1a;6;6;DARSim;True;True;True;6.0;True;True;True;True;2018-03-02 16:28:27;True;True;True;True;True;True;True;True;
1520004519.9027736;beacon;20;00:3a:7d:34:e4:10;1;6;eduroam;True;True;True;24.0;True;True;True;True;2018-03-02 16:28:39;;;;;;;;;
1520004519.9519315;beacon;20;00:3a:7d:34:e4:12;1;6;tudelft-dastud;True;True;True;24.0;True;True;True;True;2018-03-02 16:28:39;;;;;;;;;
1520004545.5017295;beacon;20;00:a3:8e:6e:89:f1;9;6;TUvisitor;True;True;True;24.0;True;True;True;True;2018-03-02 16:29:05;;;;;;;;;
